AUC,AUC_wo,Accuracy,Accuracy_wo,Classifier_Type,Imputer,Missingness,Repeat,columns_imp_count
0.6427902969518708,0.6287734034073076,0.001374570446735395,0.0013769403957814906,LDA,mean,mnarF2,0,4
0.6033100765184666,0.5979792109680607,0.0,0.0,SVC,mean,mnarF2,0,4
0.6658043884344244,0.6684756849072636,0.0,0.0,RF,mean,mnarF2,0,4
0.6349103768567375,0.627228781808082,0.05091361535726981,0.05988861239483352,GB,median,mnarF2,0,4
0.6376017954882508,0.6326793421151776,0.0006872852233676975,0.002061855670103093,LDA,median,mnarF2,0,4
0.5904298706098863,0.6172204844219529,0.0,0.000689655172413793,SVC,median,mnarF2,0,4
0.666918586380319,0.6745456699783117,0.0,0.0,RF,median,mnarF2,0,4
0.6373442908286986,0.6142113011999729,0.04885649958525891,0.05162697002014457,GB,knn,mnarF2,0,4
0.6384485218513982,0.6424189426498159,0.0020689655172413794,0.001379310344827586,LDA,knn,mnarF2,0,4
0.5968946833569826,0.5848150425240111,0.0,0.0,SVC,knn,mnarF2,0,4
0.6761695512268014,0.6744481427985927,0.0,0.0,RF,knn,mnarF2,0,4
0.6285141296034021,0.6317073930386845,0.051638819765375044,0.048858869534305016,GB,mice,mnarF2,0,4
0.6446215744477872,0.6240913504872444,0.000689655172413793,0.002753880791562981,LDA,mice,mnarF2,0,4
0.5847489573012551,0.5719353470408323,0.0006872852233676975,0.0006872852233676975,SVC,mice,mnarF2,0,4
0.6709745715728286,0.676703078333475,0.0,0.0,RF,mice,mnarF2,0,4
0.6227745223291663,0.6361237224591116,0.05711340206185567,0.05369593553738594,GB,tree,mnarF2,0,4
0.6475567236863874,0.6275848952040899,0.0013769403957814906,0.0006872852233676975,LDA,tree,mnarF2,0,4
0.5693389022231331,0.5895590749634778,0.0,0.000689655172413793,SVC,tree,mnarF2,0,4
0.6695222390984717,0.6641411201850376,0.0,0.0,RF,tree,mnarF2,0,4
0.6086474115869491,0.6219007211195919,0.05779357743808509,0.053686455741201566,GB,complete_case,mnarF4,0,4
0.6344381144261259,0.6399521954400031,0.04472804834696054,0.048858869534305016,GB,mean,mnarF4,0,4
0.6242090258424664,0.6242571495422289,0.0,0.001374570446735395,LDA,mean,mnarF4,0,4
0.5378286424123914,0.5837433449261844,0.0,0.0,SVC,mean,mnarF4,0,4
0.6661121291124523,0.6535533016557382,0.0,0.0,RF,mean,mnarF4,0,4
0.642911131493438,0.6138091875729849,0.054371371015523175,0.06123474345301576,GB,median,mnarF4,0,4
0.6365469171507468,0.6209460744730978,0.0006872852233676975,0.0,LDA,median,mnarF4,0,4
0.5588530275399529,0.5894164383194387,0.0,0.0,SVC,median,mnarF4,0,4
0.6609135653305984,0.6721962153046694,0.0006872852233676975,0.0,RF,median,mnarF4,0,4
0.6150075028817354,0.6217905311776631,0.057134731603270525,0.05162223012205237,GB,knn,mnarF4,0,4
0.6331650688741028,0.6289264542162167,0.0006872852233676975,0.0006872852233676975,LDA,knn,mnarF4,0,4
0.6088624964267124,0.5705969645596033,0.0,0.0,SVC,knn,mnarF4,0,4
0.6656425711931316,0.6726207591547088,0.0,0.0,RF,knn,mnarF4,0,4
0.6226072861541188,0.6391468630902546,0.05917762768100485,0.057788837539992886,GB,mice,mnarF4,0,4
0.6366700163953098,0.6311046624064977,0.0006872852233676975,0.001374570446735395,LDA,mice,mnarF4,0,4
0.5907218587175691,0.6274754956781959,0.0,0.0,SVC,mice,mnarF4,0,4
0.6673810194052587,0.6591788338082891,0.0,0.0,RF,mice,mnarF4,0,4
0.6120979343802555,0.6065899660822319,0.053669866097878896,0.05506102618793696,GB,tree,mnarF4,0,4
0.6213347981055684,0.623576536913804,0.0020642256191491883,0.0,LDA,tree,mnarF4,0,4
0.590965309334023,0.5678092588838736,0.0006872852233676975,0.0006872852233676975,SVC,tree,mnarF4,0,4
0.6564258531655283,0.6601314114974512,0.0,0.0,RF,tree,mnarF4,0,4
0.645900650948488,0.6315012034765519,0.05230477544732788,0.05918473752814315,GB,complete_case,mnarF8,0,4
0.6320444051268218,0.6327193510421709,0.059179997630050954,0.05439744045503022,GB,mean,mnarF8,0,4
0.6213433514477361,0.6330958591541066,0.002753880791562981,0.0006872852233676975,LDA,mean,mnarF8,0,4
0.5882650648030886,0.5890847088864295,0.0,0.0,SVC,mean,mnarF8,0,4
0.6592723928021792,0.6537380273341723,0.0,0.0,RF,mean,mnarF8,0,4
0.6640436475167693,0.6478731428351401,0.053669866097878896,0.06124422324920013,GB,median,mnarF8,0,4
0.6341621650739041,0.6281950691270856,0.0,0.0,LDA,median,mnarF8,0,4
0.6066588140444192,0.5680199654630316,0.0,0.0,SVC,median,mnarF8,0,4
0.6591687937901942,0.6422293208519951,0.0,0.0,RF,median,mnarF8,0,4
0.6643916337510423,0.6110082603926763,0.06469012916222301,0.057795947387131175,GB,knn,mnarF8,0,4
0.6313591763696429,0.6318923702131297,0.0,0.0006872852233676975,LDA,knn,mnarF8,0,4
0.6067810361501853,0.588476430475241,0.0,0.0,SVC,knn,mnarF8,0,4
0.6586058912060964,0.660854383239731,0.0,0.0,RF,knn,mnarF8,0,4
0.6491260092392449,0.612705957578743,0.058497452304775446,0.04610972864083422,GB,mice,mnarF8,0,4
0.6385966145960901,0.6266986951172829,0.000689655172413793,0.001374570446735395,LDA,mice,mnarF8,0,4
0.5568680773090312,0.5827503544297354,0.0,0.0,SVC,mice,mnarF8,0,4
0.648842315544339,0.6487392381078253,0.0,0.0,RF,mice,mnarF8,0,4
0.6453569487839894,0.6193616681871645,0.06950823557293517,0.0461239483351108,GB,tree,mnarF8,0,4
0.6465885705890951,0.629400047221783,0.001374570446735395,0.002066595568195284,LDA,tree,mnarF8,0,4
0.5839375444469643,0.5828294778003728,0.0,0.0,SVC,tree,mnarF8,0,4
0.6528461258451845,0.6396509304745348,0.0,0.0,RF,tree,mnarF8,0,4
0.7317038919168761,0.7228494136289975,0.06192913852352174,0.05645218627799502,GB,complete_case,mnarD2,0,4
0.7172422914800114,0.6911867199798565,0.0640170636331319,0.04131295177153691,GB,mean,mnarD2,0,4
0.6482075879295096,0.6535769162639447,0.001379310344827586,0.0,LDA,mean,mnarD2,0,4
0.6086132106072444,0.589183778492423,0.0,0.0,SVC,mean,mnarD2,0,4
0.6972902630432707,0.6963615725195685,0.0,0.0,RF,mean,mnarD2,0,4
0.7375048666955925,0.6307103563059206,0.05916577793577438,0.04887071927953549,GB,median,mnarD2,0,4
0.6350285353816357,0.6455459201610922,0.0013769403957814906,0.002066595568195284,LDA,median,mnarD2,0,4
0.582218694340247,0.5917666127920088,0.000689655172413793,0.0006872852233676975,SVC,median,mnarD2,0,4
0.6876739265264439,0.6816944168356336,0.0,0.0,RF,median,mnarD2,0,4
0.7101666110278201,0.6083590633574946,0.05505154639175258,0.0605758976182012,GB,knn,mnarD2,0,4
0.6433973686777651,0.6461353698216631,0.0027515108425168857,0.001374570446735395,LDA,knn,mnarD2,0,4
0.5712923844802629,0.5619567633509012,0.0,0.0006872852233676975,SVC,knn,mnarD2,0,4
0.6802924616139656,0.6854078545499704,0.0,0.0,RF,knn,mnarD2,0,4
0.721392109462561,0.642374508384146,0.05230477544732788,0.07227159616068254,GB,mice,mnarD2,0,4
0.6318412384724077,0.6491669795500045,0.001379310344827586,0.0,LDA,mice,mnarD2,0,4
0.5938140901346342,0.6051724998750572,0.0,0.0,SVC,mice,mnarD2,0,4
0.6872691405994769,0.6848101141933125,0.0,0.0,RF,mice,mnarD2,0,4
0.7307183075443378,0.6238929424346941,0.06055219812774025,0.061270292688707186,GB,tree,mnarD2,0,4
0.6528230105123102,0.6541100878072925,0.001374570446735395,0.001374570446735395,LDA,tree,mnarD2,0,4
0.6212481199434279,0.5979523120449517,0.0,0.0006872852233676975,SVC,tree,mnarD2,0,4
0.6874329983034799,0.6713252177181144,0.0,0.0,RF,tree,mnarD2,0,4
0.957981627312001,0.9616334410702599,0.02822135324090532,0.03165540940869771,GB,complete_case,mnarD4,0,4
0.9610307723829035,0.9261475347952166,0.02547221234743453,0.017210569972745587,GB,mean,mnarD4,0,4
0.7237639125920782,0.7255973036456044,0.005510131532172058,0.004128451238298377,LDA,mean,mnarD4,0,4
0.7341855281860996,0.740800611658121,0.0027562507406090767,0.001374570446735395,SVC,mean,mnarD4,0,4
0.8382592506613168,0.8393323407789286,0.0,0.0,RF,mean,mnarD4,0,4
0.9562078147962563,0.8155536233724089,0.03647825571750208,0.03922739661097287,GB,median,mnarD4,0,4
0.7068577139389223,0.7125772783438669,0.008259272425642849,0.006877592131769167,LDA,median,mnarD4,0,4
0.6883555686779484,0.6687917237147581,0.000689655172413793,0.000689655172413793,SVC,median,mnarD4,0,4
0.7623970387100429,0.7763022023641963,0.0,0.0,RF,median,mnarD4,0,4
0.9622275266819305,0.6972832186771691,0.026834933048939448,0.057139471501362726,GB,knn,mnarD4,0,4
0.6813273181434202,0.6862071931179392,0.005507761583125962,0.007574357151321247,LDA,knn,mnarD4,0,4
0.6309308848573706,0.6444500219569645,0.0,0.0,SVC,knn,mnarD4,0,4
0.734547771642514,0.7295599528456129,0.0,0.0,RF,knn,mnarD4,0,4
0.9614621239697925,0.8467830203669895,0.02891337836236521,0.03717028083896196,GB,mice,mnarD4,0,4
0.6896682217544644,0.6932766518313753,0.006877592131769167,0.008256902476596753,LDA,mice,mnarD4,0,4
0.632581930152843,0.6237448707512444,0.0006872852233676975,0.0006872852233676975,SVC,mice,mnarD4,0,4
0.7694557884012172,0.7556300169582645,0.0,0.0,RF,mice,mnarD4,0,4
0.9598605899382815,0.7474158016752508,0.03234032468301932,0.05160090058063751,GB,tree,mnarD4,0,4
0.6963110540326667,0.6955696685701322,0.007564877355136864,0.007564877355136865,LDA,tree,mnarD4,0,4
0.6466362904085641,0.6473145094887462,0.000689655172413793,0.0006872852233676975,SVC,tree,mnarD4,0,4
0.74274506359789,0.7528139863894323,0.0,0.0,RF,tree,mnarD4,0,4
0.9934709950641617,0.9920476118867967,0.008261642374688944,0.011003673421021449,GB,complete_case,mnarD8,0,4
0.9919953279722312,0.9827275017429418,0.011008413319113638,0.004135561085436663,GB,mean,mnarD8,0,4
0.8634432088433035,0.8711656874799563,0.011010783268159735,0.008948927598056641,LDA,mean,mnarD8,0,4
0.8768751746999076,0.8832897799231502,0.011695698542481337,0.013075008887308923,SVC,mean,mnarD8,0,4
0.9608360649145151,0.9587775725421661,0.0,0.0,RF,mean,mnarD8,0,4
0.9941845772090648,0.974471581483481,0.006882332029861359,0.004820476359758265,GB,median,mnarD8,0,4
0.8418138655474575,0.8382108742266468,0.014454319232136508,0.012382983765849034,LDA,median,mnarD8,0,4
0.851584517786628,0.8586510155371758,0.01513449460836592,0.01308211873444721,SVC,median,mnarD8,0,4
0.934676973691758,0.9343876777064001,0.0,0.0,RF,median,mnarD8,0,4
0.9939176222462024,0.8873083764549883,0.008266382272781135,0.03028083896196232,GB,knn,mnarD8,0,4
0.7990739867318634,0.8017440789972013,0.011010783268159734,0.013070268989216732,LDA,knn,mnarD8,0,4
0.8149467820812835,0.8090255624757843,0.020646996089584074,0.01718924043133073,SVC,knn,mnarD8,0,4
0.8710353196290059,0.8728647796636013,0.0,0.0,RF,knn,mnarD8,0,4
0.9931674406177653,0.9688333729408578,0.007576727100367342,0.009633842872378244,GB,mice,mnarD8,0,4
0.8291524091348009,0.8229846689270582,0.012387723663941226,0.013764664059722717,LDA,mice,mnarD8,0,4
0.8168882668636808,0.8077919733028682,0.017205830074653393,0.015141604455504203,SVC,mice,mnarD8,0,4
0.913004036102141,0.9060926333399021,0.0,0.0,RF,mice,mnarD8,0,4
0.9936453350723478,0.9483552346714234,0.00757198720227515,0.022026306434411662,GB,tree,mnarD8,0,4
0.8309409992092618,0.8289837804399685,0.01652802464747008,0.019270055693802586,LDA,tree,mnarD8,0,4
0.8500931687414592,0.8457849726945948,0.023386657186870486,0.022701741912548878,SVC,tree,mnarD8,0,4
0.9020986846560402,0.9131457187957934,0.0013769403957814906,0.0013769403957814906,RF,tree,mnarD8,0,4
0.6118022865719986,0.6246065035183548,0.05851641189714422,0.05575305130939685,GB,complete_case,mar2,0,4
0.6116093011698925,0.6194388873737184,0.050254769522455264,0.05919184737528144,GB,mean,mar2,0,4
0.6321046774467025,0.6290845547676918,0.0013769403957814906,0.001374570446735395,LDA,mean,mar2,0,4
0.5891040554958283,0.5852734640017406,0.0,0.0006872852233676975,SVC,mean,mar2,0,4
0.659903085330763,0.6608227591649669,0.0,0.0,RF,mean,mar2,0,4
0.6130426896762474,0.6176164085214976,0.05987913259864912,0.06811707548287713,GB,median,mar2,0,4
0.6400240093206652,0.629770492173729,0.000689655172413793,0.0013769403957814906,LDA,median,mar2,0,4
0.5893423176132965,0.5516314025897845,0.0,0.0,SVC,median,mar2,0,4
0.6584343325207905,0.6675271373487608,0.0,0.0,RF,median,mar2,0,4
0.6212316872188464,0.630458528270617,0.06538215428368291,0.048863609432397204,GB,knn,mar2,0,4
