AUC,AUC_wo,Accuracy,Accuracy_wo,Classifier_Type,Imputer,Repeat
0.9739779206782977,0.9719723301345017,0.9799368347349369,0.9803827656156502,GB,mean,3
0.7200217557306414,0.6779784356776671,0.7429796922679657,0.7298282073628253,LDA,mean,3
0.49867977008090214,0.5300094455043874,0.7050825195591344,0.7055282021487116,SVC,mean,3
0.9692057467014651,0.9692227026466723,0.9806074690939608,0.980606475929416,RF,mean,3
0.9709972697018528,0.9734474057565616,0.9797151107502614,0.980161289922111,GB,median,3
0.7789795141087338,0.760099583999921,0.8214449054383209,0.8143087698912236,LDA,median,3
0.7295040040877983,0.6912408310863923,0.8192135129967996,0.8060620280916592,SVC,median,3
0.969275479963394,0.9691242058015822,0.9806054827648708,0.9806067242205521,RF,median,3
0.9703426740953809,0.9077930441367711,0.980161289922111,0.8535444801156045,GB,knn,3
0.7126644320681326,0.6962228551010291,0.7378485076461255,0.7264854637954279,LDA,knn,3
0.6717480529283933,0.6424172098467678,0.7209076034194656,0.7209088448751467,SVC,knn,3
0.8067370187384745,0.795700239930961,0.7146690403299292,0.7117709861875641,RF,knn,3
0.9686047485084506,0.9740872419084884,0.9801593035930211,0.9790467110114637,GB,mice,3
0.7140395206306338,0.6648106187946723,0.7391850588325847,0.7287136284521779,LDA,mice,3
0.5438485243283779,0.5687326013351841,0.7050825195591344,0.7055284504398478,SVC,mice,3
0.9742380114239696,0.9733201091412669,0.9652238468738904,0.9665638741362572,RF,mice,3
0.9733015358981817,0.9741529898793015,0.9799350966969831,0.975258284854489,GB,tree,3
0.8112924546195324,0.7889632049569092,0.8230019391537743,0.8131966738919388,LDA,tree,3
0.8169926520750217,0.790180304202809,0.8417322775994218,0.8379411202399485,SVC,tree,3
0.9660237584176752,0.9670829439510259,0.8958962440999819,0.886090482255874,RF,tree,3
0.9695558601212639,0.9738585033772802,0.9797156073325338,0.9806067242205521,GB,mean,4
0.7215040152811997,0.6861916462627194,0.742979940559102,0.7307180827951624,LDA,mean,4
0.502359019594318,0.522649748875066,0.7053054849994911,0.7053054849994911,SVC,mean,4
